etiket,metin,label,metin_tr,metin_islenmis
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,"NAKİT kazanmak için ALTI şans! 100 ila 20.000 pound arasında txt> CSH11 ve 87575'e gönderin. Maliyet 150p/gün, 6 gün, 16+ TsandC geçerlidir HL 4'ü yanıtlayın bilgi",naki t kazanmak alti şans SAYI ila SAYI SAYI pound arasında txt csh SAYI SAYI e gönderin maliyet SAYI p gün SAYI gün SAYI tsandc geçerlidir hl SAYI ü yanıtlayın bilgi
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,ACİL! 100.000 £'luk Ödül İkramiyemizde 1 haftalık ÜCRETSİZ üyelik kazandınız! Şu kelimeyi gönderin: TALEP No: 81010 Şartlar ve Koşullar www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,aci l SAYI SAYI luk ödül i kramiyemizde SAYI haftalık ücretsi z üyelik kazandınız şu kelimeyi gönderin talep no SAYI şartlar koşullar URL lccltd pobox SAYI ldnw SAYI a SAYI rw SAYI
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,Bu nefes alma için sana teşekkür etmek için doğru kelimeleri arıyordum. Yardımınızı hafife almayacağıma ve sözümü yerine getireceğime söz veriyorum. Her zaman harikaydın ve bir nimet oldun.,nefes alma sana teşekkür etmek doğru kelimeleri arıyordum yardımınızı hafife almayacağıma sözümü yerine getireceğime söz veriyorum zaman harikaydın nimet oldun
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,PAZAR GÜNÜ WILL İLE TARİHİM VAR!!,pazar günü will i le tari hi m
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,XXXMobileMovieClub: Kredinizi kullanmak için bir sonraki txt mesajındaki WAP bağlantısını tıklayın veya burayı tıklayın>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,xxxmobilemovieclub kredinizi kullanmak sonraki txt mesajındaki wap bağlantısını tıklayın burayı tıklayın URL xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),0,Ah...burada izliyorum :),ah burada izliyorum
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,"Eh, 2'nin adını nasıl yazdığını hatırlıyor musun? Evet yazdım. Ben ıslanana kadar yaramazlık yaptı.",eh SAYI nin adını nasıl yazdığını hatırlıyor musun evet yazdım ıslanana yaramazlık yaptı
ham,Fine if thats the way u feel. Thats the way its gota b,0,Eğer sen de böyle hissediyorsan sorun yok. Bu şekilde olması lazım,eğer böyle hissediyorsan sorun şekilde olması lazım
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,"İngiltere v Makedonya - golleri/takım haberlerini kaçırmayın. Milli takımınıza 87077'ye mesaj gönderin, örneğin İNGİLTERE'den 87077'ye deneyin: GALLER, İSKOÇYA 4txt/ú1.20 POBOXox36504W45WQ 16+",i ngiltere v makedonya golleri takım haberlerini kaçırmayın milli takımınıza SAYI ye mesaj gönderin örneğin i ngi ltere den SAYI ye deneyin galler i skoçya SAYI txt ú SAYI SAYI poboxox SAYI w SAYI wq SAYI
ham,Is that seriously how you spell his name?,0,Cidden onun adını bu şekilde mi yazıyorsun?,cidden onun adını şekilde yazıyorsun
ham,I‘m going to try for 2 months ha ha only joking,0,2 ay deneyeceğim ha ha sadece şaka yapıyorum,SAYI ay deneyeceğim ha ha sadece şaka yapıyorum
ham,So ü pay first lar... Then when is da stock comin...,0,O halde ilk parayı öde... Peki stok ne zaman gelecek...,halde ilk parayı öde peki stok zaman gelecek
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,Öğle yemeğimi bitirdikten sonra aşağı iniyorum. Ard 3 smth lor. Öğle yemeğini bitirdin mi zaten?,öğle yemeğimi bitirdikten sonra aşağı iniyorum ard SAYI smth lor öğle yemeğini bitirdin zaten
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,"Offffffff. Tamam, seninle daha erken buluşabilmemin imkanı yok mu?",offffffff tamam seninle erken buluşabilmemin imkanı
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,Kendimi bir dilim yemeye zorladım. Gerçekten aç değilim ama. Bu berbat. Mark endişelenmeye başlıyor. Pizzayı reddettiğimde hasta olduğumu biliyor. yüksek sesle gülmek,kendimi dilim yemeye zorladım gerçekten aç değilim berbat mark endişelenmeye başlıyor pizzayı reddettiğimde hasta olduğumu biliyor yüksek sesle gülmek
ham,Lol your always so convincing.,0,Hahaha her zaman çok ikna edicisin.,hahaha zaman ikna edicisin
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,Otobüse yetiştin mi? Yumurta mı kızartıyorsun? Çay yaptın mı? Annenin akşam yemeğinden kalanını mı yiyorsun? Aşkımı hissediyor musun?,otobüse yetiştin yumurta kızartıyorsun çay yaptın annenin akşam yemeğinden kalanını yiyorsun aşkımı hissediyor musun
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,"Geri döndüm. şimdi arabayı paketliyoruz, yer olursa sana haber veririm",geri döndüm şimdi arabayı paketliyoruz yer olursa sana haber veririm
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,Ahhh. İş. Bunu belli belirsiz hatırlıyorum! Nasıl bir duygu? yüksek sesle gülmek,ahhh i ş bunu belli belirsiz hatırlıyorum nasıl duygu yüksek sesle gülmek
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,"Durun, bu hala o kadar net değil, alaycı olduğumdan emin değil miydiniz, yoksa bu yüzden mi x bizimle yaşamak istemiyor?",durun hala net değil alaycı olduğumdan emin değil miydiniz yoksa yüzden x bizimle yaşamak istemiyor
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,"Evet saat 2'de geldi ve özür diledi. N düşmüştü ve şımarık bir çocuk gibi davranıyordu ve o da buna kapılmıştı. 2'ye kadar! Ama oraya gitmeyeceğiz! Çok kötü yapmıyorum, şerefe. Sen?",evet saat SAYI geldi özür diledi n düşmüştü şımarık çocuk davranıyordu buna kapılmıştı SAYI ye oraya gitmeyeceğiz kötü yapmıyorum şerefe
ham,K tell me anything about you.,0,Bana senin hakkında bir şey söyle.,bana senin hakkında şey söyle
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,Yaptığın onca ev işi yüzünden bayılma korkusundan mı? Çabuk bir fincan kahve iç,yaptığın onca ev işi yüzünden bayılma korkusundan çabuk fincan kahve iç
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,"Ringtone UK aboneliğiniz için teşekkür ederiz, cep telefonunuzdan ayda 5 £ ücret alınacaktır. Lütfen EVET veya HAYIR şeklinde yanıt vererek onaylayın. HAYIR cevabını verirseniz sizden ücret alınmayacaktır",ringtone uk aboneliğiniz teşekkür ederiz cep telefonunuzdan ayda SAYI ücret alınacaktır lütfen evet hayir şeklinde yanıt vererek onaylayın hayir cevabını verirseniz sizden ücret alınmayacaktır
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,Evet... Tamam eve gidiyorum saatlere bakıyorum sonra tekrar mesaj atıyorum... Xuhui de 2 Mayıs'ta öğrenecek ama dersi sabah 8'de,evet tamam eve gidiyorum saatlere bakıyorum sonra tekrar mesaj atıyorum xuhui SAYI mayıs ta öğrenecek dersi sabah SAYI
ham,"Oops, I'll let you know when my roommate's done",0,"Hata, oda arkadaşımın işi bittiğinde sana haber vereceğim",hata oda arkadaşımın işi bittiğinde sana haber vereceğim
ham,I see the letter B on my car,0,Arabamda B harfini görüyorum,arabamda b harfini görüyorum
ham,Anything lor... U decide...,0,Ne olursa... Siz karar verin...,olursa karar verin
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,Merhaba! Nasılsın ve cumartesi nasıl geçti? Herhangi bir şey yapmaya karar verip vermediğini öğrenmek için mesaj atıyordum. Kendimi falan davet etmeye çalıştığımdan değil!,merhaba nasılsın cumartesi nasıl geçti herhangi şey yapmaya karar verip vermediğini öğrenmek mesaj atıyordum kendimi falan davet etmeye çalıştığımdan değil
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,Lütfen watt ile devam edin. Sadece emin olmak istedim. Harika bir hafta sonu geçirin. Abiola,lütfen watt devam edin sadece emin olmak istedim harika hafta sonu geçirin abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,"Sana söylemeyi unuttum mu? Seni istiyorum, sana ihtiyacım var, seni arzuluyorum... Ama hepsinden önemlisi... Seni seviyorum tatlı Arap atım... Mmmmmm... Nefis",sana söylemeyi unuttum seni istiyorum sana ihtiyacım seni arzuluyorum hepsinden önemlisi seni seviyorum tatlı arap atım mmmmmm nefis
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,07732584351 - Rodger Burns - MSG = Ücretsiz nokia mobile + bedava video kamera için sms'imize yanıtınız için sizi aramaya çalıştık. Yarın teslimat için lütfen hemen arayın 08000930705,SAYI rodger burns msg ücretsiz nokia mobile bedava video kamera sms imize yanıtınız sizi aramaya çalıştık yarın teslimat lütfen hemen arayın SAYI
ham,WHO ARE YOU SEEING?,0,KİMİ GÖRÜYORSUNUZ?,görüyorsunuz
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,Harika! Umarım erkeğinizin iyi donanımlı olmasını seversiniz. Ben &lt;#&gt;  inç...,harika umarım erkeğinizin iyi donanımlı olmasını seversiniz lt gt inç
ham,No calls..messages..missed calls,0,Arama yok..mesaj..cevapsız arama,arama mesaj cevapsız arama
ham,Didn't you get hep b immunisation in nigeria.,0,Nijerya'da hep b aşısı yaptırmadın mı?,nijerya hep b aşısı yaptırmadın
ham,"Fair enough, anything going on?",0,"Yeterince adil, bir şeyler oluyor mu?",yeterince adil şeyler oluyor
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,"Evet umarım, eğer Tyler bunu yapamıyorsa belki biraz sorabilirim",evet umarım eğer tyler bunu yapamıyorsa belki biraz sorabilirim
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,Ne kadar inatçı olduğumu bilemezsin. Hastaneye gitmek bile istemiyordum. Mark'a zayıf bir enayi olmadığımı söyleyip durdum. Hastaneler zayıf enayiler içindir.,inatçı olduğumu bilemezsin hastaneye gitmek istemiyordum mark a zayıf enayi olmadığımı söyleyip durdum hastaneler zayıf enayiler içindir
ham,What you thinked about me. First time you saw me in class.,0,Benim hakkımda ne düşündüğünü. Beni ilk kez sınıfta gördün.,benim hakkımda düşündüğünü beni ilk kez sınıfta gördün
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,"Bir gram genellikle &lt;#&gt; , sekizde yarım daha akıllıdır ve size &lt;#&gt; için neredeyse tam bir saniye gram kazandırır.",gram genellikle lt gt sekizde yarım akıllıdır size lt gt neredeyse tam saniye gram kazandırır
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,K fyi x yarın sabah erkenden yola çıkacak ama bu gece bizim eve uğrayacak,k fyi x yarın sabah erkenden yola çıkacak gece bizim eve uğrayacak
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,"Vay. Konaklamanızdan bu kadar utandığınızı hiç fark etmemiştim. Elimden gelenin en iyisini yaptığım ve ""mağara"" konusunda her zaman çok mutlu göründüğün için hoşuna gittiğini sanıyordum. Veremediğim için üzgünüm ve verecek daha fazla şeyim yok. Teklif ettiğim için üzgünüm. Odanızın çok utanç verici olduğu için üzgünüm.",vay konaklamanızdan utandığınızı fark etmemiştim elimden gelenin iyisini yaptığım mağara konusunda zaman mutlu göründüğün hoşuna gittiğini sanıyordum veremediğim üzgünüm verecek fazla şeyim teklif ettiğim üzgünüm odanızın utanç verici olduğu üzgünüm
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,SMS. ac Sptv: New Jersey Devils ve Detroit Red Wings Buz Hokeyi oynuyor. Doğru mu Yanlış mı? Son? Yanıtla SON SPTV,sms ac sptv new jersey devils detroit red wings buz hokeyi oynuyor doğru yanlış son yanıtla son sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,Mallika Sherawat'ın dün ne yaptığını biliyor musun? Şimdi öğrenin @ &lt;URL&gt;,mallika sherawat ın dün yaptığını biliyor musun şimdi öğrenin lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,"Tebrikler! 2 kişilik 1 yıllık özel sinema bileti sizin. Hemen 09061209465'i arayın! C Suprman V, Matrix3, StarWars3, vb.'nin tümü ÜCRETSİZ! bx420-ip4-5we. 150:00. Kaçırmayın!",tebrikler SAYI kişilik SAYI yıllık özel sinema bileti sizin hemen SAYI i arayın c suprman v matrix SAYI starwars SAYI vb nin tümü ücretsi z bx SAYI ip SAYI SAYI we SAYI SAYI kaçırmayın
ham,"Sorry, I'll call later in meeting.",0,"Kusura bakmayın, daha sonra toplantıda arayacağım.",kusura bakmayın sonra toplantıda arayacağım
ham,Tell where you reached,0,Nereye ulaştığını söyle,nereye ulaştığını söyle
ham,Yes..gauti and sehwag out of odi series.,0,Evet..gauti ve sehwag odi serisinden.,evet gauti sehwag odi serisinden
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,Eve giderken kendine 1 dolarlık bir burger alman gerekecek. Hareket bile edemiyorum. Acı beni öldürüyor.,eve giderken kendine SAYI dolarlık burger alman gerekecek hareket edemiyorum acı beni öldürüyor
ham,Ha ha ha good joke. Girls are situation seekers.,0,Ha ha ha güzel şaka. Kızlar durum arayanlardır.,ha ha ha güzel şaka kızlar durum arayanlardır
ham,Its a part of checking IQ,0,IQ'yu kontrol etmenin bir parçası,iq yu kontrol etmenin parçası
ham,"Sorry my roommates took forever, it ok if I come by now?",0,"Üzgünüm oda arkadaşlarım çok zaman aldı, şimdi gelmemin bir sakıncası var mı?",üzgünüm oda arkadaşlarım zaman aldı şimdi gelmemin sakıncası
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,"Tamam, kuaförden tekrar kontrol ettim, kısa keseceğim dedi. Güzel görünene kadar keseceğim dedi.",tamam kuaförden tekrar kontrol ettim kısa keseceğim dedi güzel görünene keseceğim dedi
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,"Değerli bir müşterimiz olarak, Mob Numaranızın yakın zamanda incelenmesinin ardından 1500 £ Bonus Ödülü ile ödüllendirildiğinizi size bildirmekten memnuniyet duyuyorum, 09066364589'u arayın.",değerli müşterimiz mob numaranızın yakın zamanda incelenmesinin ardından SAYI bonus ödülü ödüllendirildiğinizi size bildirmekten memnuniyet duyuyorum SAYI u arayın
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,"Bugün ""şarkıya adanmışlık günü.."" Hangi şarkıyı bana ithaf edeceksin? Bunu tüm değerli dostlarınıza gönderin ama önce bana haber verin...",bugün şarkıya adanmışlık günü hangi şarkıyı bana ithaf edeceksin bunu değerli dostlarınıza gönderin önce bana haber verin
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,"Acil UR, EuroDisinc Trav, Aco&Entry41 veya £1000'a ücretsiz bir gezi ödülü verdi. 87121 18+6*£1,50'ye txt DIS talep etmek için(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",acil ur eurodisinc trav aco entry SAYI SAYI a ücretsiz gezi ödülü verdi SAYI SAYI SAYI SAYI SAYI ye txt dis talep etmek morefrmmob shracomorsglsuplt SAYI ls SAYI SAYI aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,"Yeni ""Boşanma Barbie'sini"" duydun mu? Ken'in tüm eşyalarıyla birlikte geliyor!",yeni boşanma barbie sini duydun ken in eşyalarıyla birlikte geliyor
ham,I plane to give on this month end.,0,Bu ay sonunda vermeyi planlıyorum.,ay sonunda vermeyi planlıyorum
ham,Wah lucky man... Then can save money... Hee...,0,Vay şanslı adam... O zaman para biriktirebilirsin... Hee...,vay şanslı adam zaman para biriktirebilirsin hee
ham,Finished class where are you.,0,Ders bitti neredesin?,ders bitti neredesin
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,MERHABA BABAM ŞİMDİ EVDEYİM BİR ŞEY YAPMAK İSTİYORUM? XX,merhaba babam şi mdi evdeyi m bi r şey yapmak i sti yorum xx
ham,K..k:)where are you?how did you performed?,0,K..k :)neredesin?nasıl performans sergiledin?,k k neredesin nasıl performans sergiledin
ham,U can call me now...,0,Artık beni arayabilirsin...,artık beni arayabilirsin
ham,I am waiting machan. Call me once you free.,0,Machan'ı bekliyorum. Müsait olduğunda beni ara.,machan ı bekliyorum müsait olduğunda beni ara
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,Çok havalı. Ben bir beyefendiyim ve size onur ve saygıyla davranacağım.,havalı beyefendiyim size onur saygıyla davranacağım
ham,I like you peoples very much:) but am very shy pa.,0,Sizleri çok seviyorum :) ama çok utangacım baba.,sizleri seviyorum utangacım baba
ham,Does not operate after  &lt;#&gt;  or what,0,&lt;#&gt; sonrasında çalışmaz  ya da ne,lt gt sonrasında çalışmaz
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,Burada durum aynı değil. Hala iş arıyorum. Ta'nın orada ne kadar kazancı var?,burada durum aynı değil hala iş arıyorum ta nın orada kazancı
ham,"Sorry, I'll call later",0,"Üzgünüm, sonra arayacağım",üzgünüm sonra arayacağım
ham,K. Did you call me just now ah? ,0,K. Az önce beni mi aradın?,k az önce beni aradın
ham,Ok i am on the way to home hi hi,0,tamam eve gidiyorum merhaba merhaba,tamam eve gidiyorum merhaba merhaba
ham,You will be in the place of that man,0,O adamın yerinde sen olacaksın,adamın yerinde olacaksın
ham,Yup next stop.,0,Evet bir sonraki durak.,evet sonraki durak
ham,"I call you later, don't have network. If urgnt, sms me.",0,"Seni sonra ararım, şebeke yok. Acil olursa bana mesaj at.",seni sonra ararım şebeke acil olursa bana mesaj at
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,Gerçekten ne zaman seninle anlaşıyorsun? Sadece 2 bilete ve bir cekete daha ihtiyacım var ve işim bitti. Zaten tüm multi'lerimi kullandım.,gerçekten zaman seninle anlaşıyorsun sadece SAYI bilete cekete ihtiyacım işim bitti zaten multi lerimi kullandım
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,"Evet, bunu yapmak için istek göndermeye başladım ama ağrı geri geldi ve yatağıma geri döndüm. Fabrikada da çift para var. Bütün nitrolarımı nakde çevirmem lazım.",evet bunu yapmak istek göndermeye başladım ağrı geri geldi yatağıma geri döndüm fabrikada çift para nitrolarımı nakde çevirmem lazım
ham,I'm really not up to it still tonight babe,0,Gerçekten bu gece hâlâ buna hazır değilim bebeğim,gerçekten gece hâlâ buna hazır değilim bebeğim
ham,"Ela kano.,il download, come wen ur free..",0,"Ela kano.,indireceğim, bedavaysan gel..",ela kano indireceğim bedavaysan gel
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,"Evet yap! Kapatmak için durmayın, bir şey yakalarsınız!",evet yap kapatmak durmayın şey yakalarsınız
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,"Acı verdiğim için üzgünüm. Başka bir gece buluşsak olur mu? Öğleden sonrayı yaralı olarak geçirdim ve bu, sizin hiçbir şeyinizi yapmadığım anlamına geliyor ve buna tüm zaman çizelgelerim ve bunlar da dahil. Üzgünüm.",acı verdiğim üzgünüm başka gece buluşsak olur öğleden sonrayı yaralı geçirdim sizin şeyinizi yapmadığım anlamına geliyor buna zaman çizelgelerim bunlar dahil üzgünüm
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,Zevkle Gülümse Acı İçinde Gülümse Bela Yağmur gibi yağdığında gülümse Toplam seni acıttığında gülümse Gülümse çünkü BİRİ hala seni görmeyi seviyor Gülümserken!!,zevkle gülümse acı i çinde gülümse bela yağmur yağdığında gülümse toplam seni acıttığında gülümse gülümse çünkü bi ri hala seni görmeyi seviyor gülümserken
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,1000 £ garantili nakit veya 5000 £ ödül KAZANDIĞINIZ için lütfen 0800 169 6031 numaralı telefondan 10:00 - 21:00 saatleri arasında müşteri hizmetleri temsilcimizi arayın!,SAYI garantili nakit SAYI ödül kazandiğiniz lütfen SAYI SAYI SAYI numaralı telefondan SAYI SAYI SAYI SAYI saatleri arasında müşteri hizmetleri temsilcimizi arayın
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,Daha sonra satın almayı planlamıyorum. Zaten Lido'nun öğleden sonra sadece 530 gösteri aldığını kontrol ettim. İşini bitirdin mi?,sonra satın almayı planlamıyorum zaten lido nun öğleden sonra sadece SAYI gösteri aldığını kontrol ettim i şini bitirdin
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,"Ücretsiz zil sesiniz toplanmayı bekliyor. Doğrulamak için ""MIX"" şifresini 85069'a kısa mesaj göndermeniz yeterli. Usher ve Britney'i alın. FML, Posta Kutusu 5249, MK17 92H. 450Ppw 16",ücretsiz zil sesiniz toplanmayı bekliyor doğrulamak mix şifresini SAYI a kısa mesaj göndermeniz yeterli usher britney i alın fml posta kutusu SAYI mk SAYI SAYI h SAYI ppw SAYI
ham,Watching telugu movie..wat abt u?,0,Telugu filmi izliyorum.. senden ne haber?,telugu filmi izliyorum senden haber
ham,i see. When we finish we have loads of loans to pay,0,Anlıyorum. Bitirdiğimizde ödememiz gereken bir sürü kredi var,anlıyorum bitirdiğimizde ödememiz gereken sürü kredi
